date,AvgMissingPercentage,DaysWithData
2/15/2021,12.18212583,7
2/16/2021,11.33387802,7
2/19/2021,59.56513661,7
2/20/2021,4.703847572,7
2/21/2021,19.08800671,7
2/27/2021,65.91634093,7
3/10/2021,9.215017065,4
3/14/2021,13.01399209,4
3/15/2021,30.11430102,4
3/23/2021,16.92514233,4
3/25/2021,54.65605696,4
3/26/2021,3.44209394,4
3/29/2021,68.4809884,4
4/7/2021,30.86914149,3
4/18/2021,3.864251943,3
4/21/2021,2.844602385,3
4/22/2021,16.12907284,3
4/24/2021,46.18987106,3
5/3/2021,2.674177422,2
5/9/2021,25.87646191,2
6/9/2021,16.48696903,1
6/10/2021,35.72478683,1
6/17/2021,44.98511987,1
7/10/2021,30.45075597,3
7/17/2021,9.418241509,3
7/18/2021,10.4527522,3
7/21/2021,42.39057927,3
7/22/2021,35.49769572,3
7/25/2021,27.08070216,3
7/28/2021,69.16635363,3
7/29/2021,37.17580107,3
8/1/2021,68.66644438,4
8/4/2021,52.28543622,4
8/5/2021,23.07323137,4
8/10/2021,4.481370299,4
8/27/2021,5.429047804,4
8/28/2021,2.392333884,4
9/9/2021,57.30442376,4
9/15/2021,65.8567258,4
9/19/2021,14.53241694,4
9/20/2021,15.73708426,4
9/23/2021,41.08926968,4
9/26/2021,55.34568706,4
9/27/2021,18.64265198,4
9/28/2021,23.48808357,4
10/1/2021,40.83744274,2
10/2/2021,64.08798045,2
10/8/2021,22.89219977,2
10/15/2021,57.39761994,2
10/16/2021,51.66312781,2
10/23/2021,24.81368192,2
10/28/2021,66.48182712,2
11/3/2021,69.43646591,4
11/5/2021,59.08121637,4
11/11/2021,23.55791108,4
11/12/2021,28.43270916,4
11/14/2021,34.72111256,4
11/15/2021,65.96182626,4
11/18/2021,32.44434561,4
11/20/2021,56.54422518,4
11/23/2021,19.78526364,4
11/26/2021,4.728790775,4
12/1/2021,70.3996973,0
12/3/2021,72.26532069,0
12/11/2021,34.28021832,0
12/12/2021,56.47656538,0
12/15/2021,59.00244566,0
1/2/2022,63.35775206,0
1/3/2022,56.42486498,0
1/11/2022,53.1075086,0
1/21/2022,74.35810268,0
2/2/2022,54.30063721,0
2/14/2022,60.69835551,0
2/15/2022,65.84778723,0
2/17/2022,47.21911042,0
2/24/2022,61.16685361,0
2/25/2022,46.81233402,0
2/28/2022,59.10040714,0
3/2/2022,74.86670013,0
3/5/2022,67.19564263,0
3/12/2022,33.11848656,0
3/15/2022,32.39970887,0
3/16/2022,62.85992758,0
3/19/2022,74.92551171,0
4/8/2022,69.7316229,0
4/12/2022,42.32307894,0
5/3/2022,58.28139868,0
5/7/2022,73.32939062,0
6/25/2022,61.30624511,0
6/26/2022,36.04279336,0
6/29/2022,67.77218456,0
7/1/2022,71.1396488,0
7/10/2022,62.04522417,0
7/22/2022,44.88045636,0
7/23/2022,61.71807942,0
7/27/2022,64.65279698,0
7/29/2022,35.81963294,0
